order_id,date,region,product_category,product_name,sales_rep,quantity,unit_price,revenue,discount_pct,cogs,customer_segment
ORD091,2024-10-03,West,Software,CRM Pro,Amit Patel,8,12000,96000,0,57600,SMB
ORD092,2024-10-06,East,Hardware,Server Pro,Sneha Roy,3,120000,360000,5,216000,Enterprise
ORD093,2024-10-10,North,Services,Cloud Migration,Rahul Sharma,2,150000,300000,10,120000,Enterprise
ORD094,2024-10-12,South,Software,Analytics Suite,Vikram Singh,9,25000,225000,0,90000,Mid-Market
ORD095,2024-10-15,West,Hardware,Laptop Elite,Pooja Mehta,6,55000,330000,5,198000,SMB
ORD096,2024-10-18,East,Software,CRM Pro,Arjun Das,6,12000,72000,10,43200,SMB
ORD097,2024-10-20,North,Services,IT Support Annual,Rahul Sharma,6,80000,480000,0,192000,Enterprise
ORD098,2024-10-22,South,Hardware,Server Pro,Priya Nair,2,120000,240000,5,144000,Enterprise
ORD099,2024-10-25,West,Software,Analytics Suite,Amit Patel,8,25000,200000,0,80000,Mid-Market
ORD100,2024-10-28,East,Services,Cloud Migration,Sneha Roy,1,150000,150000,5,60000,Enterprise
ORD101,2024-11-03,North,Software,CRM Pro,Rahul Sharma,10,12000,120000,5,72000,SMB
ORD102,2024-11-06,South,Hardware,Laptop Elite,Vikram Singh,9,55000,495000,0,297000,Mid-Market
ORD103,2024-11-10,West,Services,IT Support Annual,Pooja Mehta,5,80000,400000,5,160000,Enterprise
ORD104,2024-11-12,East,Software,Analytics Suite,Arjun Das,7,25000,175000,10,70000,SMB
ORD105,2024-11-15,North,Hardware,Server Pro,Rahul Sharma,3,120000,360000,0,216000,Enterprise
ORD106,2024-11-18,South,Software,CRM Pro,Priya Nair,11,12000,132000,5,79200,SMB
ORD107,2024-11-20,West,Services,Cloud Migration,Amit Patel,2,150000,300000,10,120000,Enterprise
ORD108,2024-11-22,East,Hardware,Laptop Elite,Sneha Roy,7,55000,385000,5,231000,Mid-Market
ORD109,2024-11-25,North,Software,Analytics Suite,Rahul Sharma,9,25000,225000,0,90000,Mid-Market
ORD110,2024-11-28,South,Services,IT Support Annual,Vikram Singh,4,80000,320000,5,128000,Enterprise
ORD111,2024-12-03,West,Software,CRM Pro,Pooja Mehta,9,12000,108000,0,64800,SMB
ORD112,2024-12-06,East,Hardware,Server Pro,Arjun Das,3,120000,360000,10,216000,Enterprise
ORD113,2024-12-10,North,Services,Cloud Migration,Rahul Sharma,2,150000,300000,5,120000,Enterprise
ORD114,2024-12-12,South,Software,Analytics Suite,Vikram Singh,10,25000,250000,0,100000,Mid-Market
ORD115,2024-12-15,West,Hardware,Laptop Elite,Pooja Mehta,8,55000,440000,5,264000,Mid-Market
ORD116,2024-12-18,East,Software,CRM Pro,Arjun Das,7,12000,84000,10,50400,SMB
ORD117,2024-12-20,North,Services,IT Support Annual,Rahul Sharma,7,80000,560000,0,224000,Enterprise
ORD118,2024-12-22,South,Hardware,Server Pro,Priya Nair,3,120000,360000,5,216000,Enterprise
ORD119,2024-12-26,West,Software,Analytics Suite,Amit Patel,9,25000,225000,0,90000,Mid-Market
ORD120,2024-12-30,East,Services,Cloud Migration,Sneha Roy,2,150000,300000,10,120000,Enterprise
